perfume_name,brand,gender,accords,short_description,long_description,perfumer,top_notes,middle_notes,base_notes,rating,total_votes,img,logo
Exquisite Musk Yves Saint Laurent ,Yves Saint Laurent,for women and men,"amber,warm spicy,rose,musky,fresh spicy,patchouli,balsamic,woody,oud,cinnamon","Exquisite Musk  by  Yves Saint Laurent  is a Oriental fragrance for women and men.  Exquisite Musk  was launched in 2016. Top note is Ginger; middle notes are Rose, Nutmeg and Cinnamon; base notes are Benzoin, Musk, Patchouli, Ambergris, Agarwood (Oud) and Labdanum. ",,,Ginger,"Rose,Nutmeg,Cinnamon","Benzoin,Musk,Patchouli,Ambergris,Agarwood (Oud),Labdanum",4.02,86,https://fimgs.net/mdimg/perfume/375x500.38387.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Kouros Yves Saint Laurent ,Yves Saint Laurent,for men,"musky,animalic,aromatic,powdery,honey,earthy,leather,warm spicy,woody,aldehydic","Kouros  by  Yves Saint Laurent  is a Aromatic Fougere fragrance for men.  Kouros  was launched in 1981. The nose behind this fragrance is Pierre Bourdon. Top notes are Aldehydes, Coriander, Clary Sage, Artemisia and Bergamot; middle notes are Patchouli, Carnation, Geranium, Vetiver, Jasmine, Cinnamon, Orris Root and Lavender; base notes are Civet, Honey, Leather, Musk, Oakmoss, Amber, Tonka Bean and Vanilla. ",,Pierre Bourdon,"Aldehydes,Coriander,Clary Sage,Artemisia,Bergamot","Patchouli,Carnation,Geranium,Vetiver,Jasmine,Cinnamon,Orris Root,Lavender","Civet,Honey,Leather,Musk,Oakmoss,Amber,Tonka Bean,Vanilla",3.64,"7,554",https://fimgs.net/mdimg/perfume/375x500.735.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
In Love Again Yves Saint Laurent ,Yves Saint Laurent,for women,"fruity,aromatic,green,citrus,fresh spicy,soft spicy,woody,fresh,floral,rose","In Love Again  by  Yves Saint Laurent  is a Floral Fruity fragrance for women.  In Love Again  was launched in 1998. The nose behind this fragrance is Jean-Claude Ellena. Top notes are Grapefruit, Black Currant, Cassia, Blueberry, Vodka and Apple; middle notes are Grapefruit, Rose and Water Lily; base notes are Tomato, Blackberry, Musk and Sandalwood. ","A scent of love, in the colors of passion, a lovely stroll in a blooming garden- an invitation into the world of pleasure. This fresh, fruity-floral harmony is composed of rasbberry, brimbelle, gentle peony and sensual musk.",Jean-Claude Ellena,"Grapefruit,Black Currant,Cassia,Blueberry,Vodka,Apple","Grapefruit,Rose,Water Lily","Tomato,Blackberry,Musk,Sandalwood",4.24,"1,668",https://fimgs.net/mdimg/perfume/375x500.104.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Cuir Yves Saint Laurent ,Yves Saint Laurent,for women and men,"leather,warm spicy,woody,tobacco,rum,animalic,oud,sweet,smoky,fruity","Cuir  by  Yves Saint Laurent  is a Leather fragrance for women and men.  Cuir  was launched in 2016. The nose behind this fragrance is Ilias Ermenidis. Top notes are Rum, Saffron and Ginger; middle notes are Tobacco, Black Tea and Osmanthus; base notes are Leather, Guaiac Wood and Agarwood (Oud). ","The collection of luxury perfumes from Yves Saint Laurent inspired by the iconic pieces of fashion of the house, Le Vestiaire des Parfums, was presented in the fall of 2015, with five editions. The new sub-collection Le Vestiaire des Parfums Collection de Nuit comes out in September 2016 with three new fragrances: Cuir, Velours and Vinyle. These three new unisex perfumes are said to be audacious, elegant and sensual aromas of rock 'n' roll signature. The selected materials of leather, vinyl and velvet evoke the night and the fashion of Parisian night life. 
 Cuir is created by perfumer Ilias Ermenidis as a scent of smoked leather and sensual guaiac wood combined with spicy saffron. The composition opens with notes of concentrated rum, essence of ginger and saffron absolute. Osmanthus, black tea and pipe tobacco form the heart of the perfume, placed on the base of guaiac wood, oud and leather. 
 Each fragrance will be available as a 125 ml Eau de Parfum at the price of â‚¬270.",Ilias Ermenidis,"Rum,Saffron,Ginger","Tobacco,Black Tea,Osmanthus","Leather,Guaiac Wood,Agarwood (Oud)",4.28,208,https://fimgs.net/mdimg/perfume/375x500.40931.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Capeline Yves Saint Laurent ,Yves Saint Laurent,for women and men,"white floral,vanilla,yellow floral,citrus,aromatic,marine,sweet,woody,soft spicy,powdery","Capeline  by  Yves Saint Laurent  is a Oriental Floral fragrance for women and men.  Capeline  was launched in 2020. The nose behind this fragrance is Juliette Karagueuzoglou. Top notes are Bergamot and Mandarin Orange; middle notes are Lily, Ylang-Ylang, Sea water and Neroli; base notes are Vanilla Absolute, White Musk and Vetiver. ",,Juliette Karagueuzoglou,"Bergamot,Mandarin Orange","Lily,Ylang-Ylang,Sea water,Neroli","Vanilla Absolute,White Musk,Vetiver",4.12,300,https://fimgs.net/mdimg/perfume/375x500.60081.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Elle Yves Saint Laurent ,Yves Saint Laurent,for women,"woody,floral,patchouli,fresh,rose,soft spicy,earthy,aromatic,warm spicy,musky","Elle  by  Yves Saint Laurent  is a Floral Woody Musk fragrance for women.  Elle  was launched in 2007. Elle was created by Jacques Cavallier Belletrud and Olivier Cresp. Top notes are Litchi, Peony and Amalfi Lemon; middle notes are Pink Pepper, Rose, Jasmine and Freesia; base notes are Patchouli, Vetiver, Cedar and Ambrette (Musk Mallow). ","This beautiful passionate perfume by the house of Yves Saint Laurent arrived on the market in Autumn 2007, hoping to win the hearts of young and modern girls. Tender and distinguished fragrance Elle, designed by two renowned noses, Olivier Cresp and Jacques Cavallier, brings joy with luminous crisp notes of lemon and litchi on peony petals. 
 
 Its heart unites Jasmine Sambac, rose and freesia, with youthful accords of pink berries, while the base caresses woody notes of vetiver, patchouli, and cedar. 
 
 
The face of the fragrance is young and extravagant 18-year-old Coco Rocha. The advertising campaign, as well as the bottle design, can say a lot about the perfume: it is a young, but pretentious fragrance within the frame of the ""modern classic.""  
","Jacques Cavallier Belletrud,Olivier Cresp","Litchi,Peony,Amalfi Lemon","Pink Pepper,Rose,Jasmine,Freesia","Patchouli,Vetiver,Cedar,Ambrette (Musk Mallow)",4.06,"6,004",https://fimgs.net/mdimg/perfume/375x500.1574.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Caftan Yves Saint Laurent ,Yves Saint Laurent,for women and men,"amber,warm spicy,musky,balsamic","Caftan  by  Yves Saint Laurent  is a Oriental fragrance for women and men.  Caftan  was launched in 2015. The nose behind this fragrance is Calice Becker. Top notes are Pink Pepper, Tangerine and Bergamot; middle notes are Benzoin, Olibanum and Styrax; base notes are Labdanum and Musk. ","In November 2015, Yves Saint Laurent presents its new collection of luxury fragrances Le Vestiaire des Parfums, which includes five new releases: Caban, Caftan, Tuxedo, Saharienne and Trench. The ""perfume wardrobe"" collection is inspired by the iconic pieces of Yves Saint Laurent clothing.
 
 
Caftan is an oriental fragrance of incense, benzoin, galbanum and musk. It was created by perfumer Calice Becker.
 
 
All the fragrances are unisex. They are available as 125 ml Eau de Parfum.",Calice Becker,"Pink Pepper,Tangerine,Bergamot","Benzoin,Olibanum,Styrax","Labdanum,Musk",4.26,807,https://fimgs.net/mdimg/perfume/375x500.32268.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Body Kouros Yves Saint Laurent ,Yves Saint Laurent,for men,"amber,woody,warm spicy,camphor,aromatic,smoky,balsamic,vanilla",Body Kouros  by  Yves Saint Laurent  is a Oriental Spicy fragrance for men.  Body Kouros  was launched in 2000. The nose behind this fragrance is Annick Menardo. Top notes are Eucalyptus and Incense; middle notes are Chinese Cedar and Clary Sage; base note is Benzoin. ,,Annick Menardo,"Eucalyptus,Incense","Chinese Cedar,Clary Sage",Benzoin,4.18,"3,113",https://fimgs.net/mdimg/perfume/375x500.736.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
CinÃ©ma Yves Saint Laurent ,Yves Saint Laurent,for women,"floral,vanilla,amber,sweet,citrus,powdery,fresh,white floral","CinÃ©ma  by  Yves Saint Laurent  is a Oriental Floral fragrance for women.  CinÃ©ma  was launched in 2004. The nose behind this fragrance is Jacques Cavallier Belletrud. Top notes are Almond Blossom, Clementine and Cyclamen; middle notes are Jasmine, Peony and Amaryllis; base notes are Vanilla, Amber, Benzoin and White Musk. ","Cinema can make every woman feel like a star. It is a fragrance for glamorous women who live under the spotlights, self-confident and elegant, women who know how to draw the attention. A seductive flavor reminds of Hollywood beauties from the romantic love movies, glamourous evening gowns, Hollywood hairstyles, high heels, black seamed stockingsâ€¦ 
 
 The top note is delicate and softly fresh (clementine, almond blossom and cyclamen). The heart reveals jasmine, peony and amaryllis. The drydown is warm, opulent, and balsamic with amber, musk and sweet powdery vanilla. The fragrance was created by Jacques Cavallier. 
 
 See the YSL Cinema video ad. 
",Jacques Cavallier Belletrud,"Almond Blossom,Clementine,Cyclamen","Jasmine,Peony,Amaryllis","Vanilla,Amber,Benzoin,White Musk",4.1,"10,290",https://fimgs.net/mdimg/perfume/375x500.92.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Caban Yves Saint Laurent ,Yves Saint Laurent,for women and men,"woody,warm spicy,amber,aromatic,balsamic,fresh spicy,vanilla,sweet,soft spicy,powdery","Caban  by  Yves Saint Laurent  is a Oriental Woody fragrance for women and men.  Caban  was launched in 2015. The nose behind this fragrance is Carlos Benaim. Top notes are elemi, Pink Pepper and Black Pepper; middle notes are Olibanum and Osmanthus; base notes are Tonka Bean, Sandalwood and Patchouli. ","In November 2015, Yves Saint Laurent presents its new collection of luxury fragrances Le Vestiaire des Parfums, which includes five new releases: Caban, Caftan, Tuxedo, Saharienne and Trench. The ""perfume wardrobe"" collection is inspired by the iconic pieces of Yves Saint Laurent clothing.
 
 
Caban is a sensual aroma of pink pepper, rose and tonka bean.
 
 
All the fragrances are unisex. They are available as 125 ml Eau de Parfum.",Carlos Benaim,"elemi,Pink Pepper,Black Pepper","Olibanum,Osmanthus","Tonka Bean,Sandalwood,Patchouli",4.17,562,https://fimgs.net/mdimg/perfume/375x500.32267.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
L'Homme Yves Saint Laurent ,Yves Saint Laurent,for men,"warm spicy,citrus,aromatic,fresh spicy,woody,fresh,vanilla,green,ozonic","L'Homme  by  Yves Saint Laurent  is a Woody Floral Musk fragrance for men.  L'Homme  was launched in 2006. L'Homme was created by Anne Flipo, Pierre Wargnye, Dominique Ropion and Juliette Karagueuzoglou. Top notes are Ginger, Bergamot and Lemon; middle notes are Spices, Violet Leaf, White Pepper and Basil; base notes are Tonka Bean, Cedar and Tahitian Vetiver. ",,"Anne Flipo,Dominique Ropion,Juliette Karagueuzoglou,Pierre Wargnye","Ginger,Bergamot,Lemon","Spices,Violet Leaf,White Pepper,Basil","Tonka Bean,Cedar,Tahitian Vetiver",4.36,"10,195",https://fimgs.net/mdimg/perfume/375x500.734.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Black Opium Intense Yves Saint Laurent ,Yves Saint Laurent,for women,"coffee,aromatic,vanilla,warm spicy,soft spicy,bitter,sweet,fruity,white floral,powdery","Black Opium Intense  by  Yves Saint Laurent  is a Oriental Vanilla fragrance for women.  Black Opium Intense  was launched in 2019. Black Opium Intense was created by Nathalie Lorson, Olivier Cresp, Marie Salamagne and Honorine Blanc. Top notes are Absinthe and Boysenberry; middle notes are Coffee, Jasmine Sambac and Orange Blossom; base notes are Vanilla, Licorice and Sandalwood. ","At the beginning of 2019, Yves Saint Laurent will launch a new edition of the Black Opium fragrance, Black Opium Eau de Parfum Intense. 
 Black Opium Intense represents a magical, bold, seductive and independent woman, appropriately portrayed by ZoÃ« Kravitz, the new face of the advertising campaign for the line. She follows her intuition and her desires, and nothing can stop her; she is attracted by the energy and the possibilities that the night brings (as stated in the press release). The famous face of the new advertising campaign is also Presley Gerber, the son of supermodel Cindy Crawford. 
 Top note: blue absinthe, boysenberry 
Heart: Sambac jasmine, orange blossom, black coffee 
Base: sandalwood, liquorice, vanillaÂ  
 The dark blue bottle is illuminated from the inside with the blue liquid of the perfume. The fragrance is available as a 30, 50, or 90 ml Eau de Parfum Intense.","Honorine Blanc,Marie Salamagne,Nathalie Lorson,Olivier Cresp","Absinthe,Boysenberry","Coffee,Jasmine Sambac,Orange Blossom","Vanilla,Licorice,Sandalwood",3.95,"1,885",https://fimgs.net/mdimg/perfume/375x500.52924.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Black Opium Illicit Green Yves Saint Laurent ,Yves Saint Laurent,for women,"vanilla,sweet,coffee,fruity,white floral,warm spicy,green,citrus,woody,fresh","Black Opium Illicit Green  by  Yves Saint Laurent  is a Floral Fruity Gourmand fragrance for women. This is a new fragrance.  Black Opium Illicit Green  was launched in 2022. Black Opium Illicit Green was created by Nathalie Lorson and Olivier Cresp. Top notes are Pear, Fig Leaf and Green Mandarin; middle notes are Fig, Orange Blossom and Jasmine; base notes are Bourbon Vanilla, Coffee and Patchouli. ",,"Nathalie Lorson,Olivier Cresp","Pear,Fig Leaf,Green Mandarin","Fig,Orange Blossom,Jasmine","Bourbon Vanilla,Coffee,Patchouli",3.89,"1,567",https://fimgs.net/mdimg/perfume/375x500.71193.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Black Opium Nuit Blanche Yves Saint Laurent ,Yves Saint Laurent,for women,"lactonic,sweet,vanilla,caramel,coffee,savory,warm spicy,powdery,soft spicy,white floral","Black Opium Nuit Blanche  by  Yves Saint Laurent  is a Oriental Vanilla fragrance for women.  Black Opium Nuit Blanche  was launched in 2016. The nose behind this fragrance is Olivier Cresp. Top notes are Rice, Anise and Bourbon Pepper; middle notes are Coffee, Orange Blossom, Coriander and Peony; base notes are Vanilla, Milk, Caramel, Sandalwood and White Musk. ","Yves Saint Laurent launched Black Opium in September 2014, the new fragrance announced as the rock'n'roll interpretation of the classic celebrating the dark, mysterious side of the YSL brand. In late August 2015, Black Opium Eau de Toilette was also presented. In early 2016, its third edition called Black Opium Nuit Blanche appears. 
 Nuit Blanche is an annual arts festival in Paris, which lasts all night. Black Opium Nuit Blanche is inspired by the night life of the city that never sleeps, promising the mysterious and unpredictable experience of an electric night in which everything is possible. Between tension and sensuality, audacity and femininity, the perfume combines the energy of coffee with sparkling orange blossom, illuminated by white musk. There are notes of silky smooth rice, Bourbon pepper, orange blossom absolute, Black Opium coffee, vanilla absolute, sandalwood and white musk. 
 The bottle design is very similar to the original. The difference is in the details like the color of the cap, which is in rose-gold, and white sequins. It is available as 30, 50 and 90 ml Eau de Parfum.",Olivier Cresp,"Rice,Anise,Bourbon Pepper","Coffee,Orange Blossom,Coriander,Peony","Vanilla,Milk,Caramel,Sandalwood,White Musk",4.06,"2,294",https://fimgs.net/mdimg/perfume/375x500.34503.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Black Opium Baby Cat Collector Yves Saint Laurent ,Yves Saint Laurent,for women,"woody,sweet,warm spicy,fruity,coffee,patchouli,vanilla,white floral,almond,balsamic","Black Opium Baby Cat Collector  by  Yves Saint Laurent  is a Oriental Vanilla fragrance for women.  Black Opium Baby Cat Collector  was launched in 2020. Black Opium Baby Cat Collector was created by Nathalie Lorson, Marie Salamagne, Olivier Cresp and Honorine Blanc. Top notes are Pear, Orange Blossom and Pink Pepper; middle notes are Coffee, Bitter Almond, Licorice and Jasmine; base notes are Patchouli, Vanilla, Cashmere Wood and Cedar. ",,"Honorine Blanc,Marie Salamagne,Nathalie Lorson,Olivier Cresp","Pear,Orange Blossom,Pink Pepper","Coffee,Bitter Almond,Licorice,Jasmine","Patchouli,Vanilla,Cashmere Wood,Cedar",3.92,40,https://fimgs.net/mdimg/perfume/375x500.63448.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Black Opium Floral Shock Yves Saint Laurent ,Yves Saint Laurent,for women,"white floral,fruity,coffee,sweet,citrus,warm spicy,floral,aquatic,aldehydic,animalic","Black Opium Floral Shock  by  Yves Saint Laurent  is a Floral Fruity Gourmand fragrance for women.  Black Opium Floral Shock  was launched in 2017. Black Opium Floral Shock was created by Nathalie Lorson, Marie Salamagne, Olivier Cresp and Honorine Blanc. Top notes are Pear, Freesia, Bergamot and Lemon; middle notes are Gardenia, Solar Notes, White Flowers and Orange Blossom; base notes are Coffee, White Musk and Amberwood. ","Yves Saint Laurent announces a new edition of the popular Black Opium collection to come out at the start of 2017, called Black Opium Floral Shock. The new edition Black Opium Floral Shock is announced as a fresher version with more floral and green aromas and the first one to possess the â€œiced coffeeâ€ accord. The new composition belongs to the family of fruity - florientals and ""shocks"" with its zesty lemon opening, white floral character in the heart with dominant gardenia, and iced coffee and white musk at the base of the perfume. 
 The freshness of lemon, bergamot and pear in the top notes mixed with freesia is the first floral accord of the composition. The heart includes white flowers of golden gardenia, orange blossom and a solar floral accord. The base ends with iced coffee, white musk, mineral accord and woody amber. Perfumers Nathalie Lorson, Marie Salamagne, Olivier Cresp and Honorine Blanc collaborated on the creation. 
 The bottle retains the shape and design of the original; it is transparent and covered with black sparkles that disappear at the bottom and reveal the pink color of the juice. The face of the campaign is model Edie Campbell. The fragrance is available as a 30, 50 and 90 ml Eau de Parfum.","Honorine Blanc,Marie Salamagne,Nathalie Lorson,Olivier Cresp","Pear,Freesia,Bergamot,Lemon","Gardenia,Solar Notes,White Flowers,Orange Blossom","Coffee,White Musk,Amberwood",3.98,"1,702",https://fimgs.net/mdimg/perfume/375x500.42056.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Babycat Yves Saint Laurent ,Yves Saint Laurent,for women and men,"vanilla,fresh spicy,warm spicy,leather,powdery,amber,musky,aromatic,balsamic,woody","Babycat  by  Yves Saint Laurent  is a Oriental Spicy fragrance for women and men. This is a new fragrance.  Babycat  was launched in 2022. The nose behind this fragrance is Dominique Ropion. Top notes are Black and Pink Pepper, Black Pepper, elemi and Pink Pepper; middle notes are Olibanum and Saffron; base notes are Bourbon Vanilla, Suede and Cedar. ",,Dominique Ropion,"Black and Pink Pepper,Black Pepper,elemi,Pink Pepper","Olibanum,Saffron","Bourbon Vanilla,Suede,Cedar",4.29,"2,098",https://fimgs.net/mdimg/perfume/375x500.73149.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Black Opium Yves Saint Laurent ,Yves Saint Laurent,for women,"vanilla,coffee,sweet,warm spicy,white floral,soft spicy,woody,fruity,powdery,balsamic","Black Opium  by  Yves Saint Laurent  is a Oriental Vanilla fragrance for women.  Black Opium  was launched in 2014. Black Opium was created by Nathalie Lorson, Marie Salamagne, Olivier Cresp and Honorine Blanc. Top notes are Pear, Pink Pepper and Orange Blossom; middle notes are Coffee, Jasmine, Bitter Almond and Licorice; base notes are Vanilla, Patchouli, Cashmere Wood and Cedar. ","In September of 2014 Yves Saint Laurent launches Black Opium, the new fragrance announced as a rock'n'roll interpretation of the classic that should highlight the dark, mysterious side of the YSL brand. Master perfumers Nathalie Lorson and Marie Salamagne, in collaboration with Olivier Cresp and Honorine Blanc, developed the composition. Notes of coffee, present in large quantities, dominate the scent. Additional accords are pink pepper, orange blossom, jasmine, vanilla, patchouli and cedar.
 
 
The perfume comes in the bottle designed as the last editions of the Opium collection. The bottle is dark and decorated with sequins that give a glam rock look.
 
 
 The face of the perfume's campaign is British model Edie Campbell, shot by Daniel Wolfe. Black Opium is available as 30, 50 and 100 ml Eau de Parfum.","Honorine Blanc,Marie Salamagne,Nathalie Lorson,Olivier Cresp","Pear,Pink Pepper,Orange Blossom","Coffee,Jasmine,Bitter Almond,Licorice","Vanilla,Patchouli,Cashmere Wood,Cedar",3.93,"26,388",https://fimgs.net/mdimg/perfume/375x500.25324.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Belle d'Opium Yves Saint Laurent ,Yves Saint Laurent,for women,"white floral,fruity,amber,warm spicy,woody,sweet,balsamic,smoky,fresh spicy,tobacco","Belle d'Opium  by  Yves Saint Laurent  is a Oriental Woody fragrance for women.  Belle d'Opium  was launched in 2010. Belle d'Opium was created by Honorine Blanc and Alberto Morillas. Top notes are Casablanca Lily, Gardenia, Jasmine and Mandarin Orange; middle notes are Incense, Fruity Notes, White Pepper, Tobacco, Peach and Rose; base notes are Sandalwood, Patchouli, Amber and Vanilla. ","Belle d`Opium is the new addiction by Yves Saint Laurent; a fragrance that is a disconcertingly bewitching new oriental.
It is a true olfactory manifesto and a profusion of rare and precious ingredients: Casablanca Lily blends with spicy Incense and
mysterious overtones of a Nargileh accord. 
  A woman who wears it is full of ambivalence, elusive and obsessive,
powerful and troubling, ingenue but dangerous.  
  Top notes: mandarin, Casablanca lily, gardenia, jasmine  
  Heart: incense, peach, white pepper, tobacco, hookah accord, fruity notes  
  Base: amber, sandalwood, patchouli, smoky notes  
 The bottle is a redesigned version of the original, updated with a flamboyant red wick and highlighted with a gold circle and cap.  
  The face of the fragrance is actress MÃ©lanie Thierry.  
  Belle d`Opium is available as 30 ml, 50 ml and 90 ml EDP.","Alberto Morillas,Honorine Blanc","Casablanca Lily,Gardenia,Jasmine,Mandarin Orange","Incense,Fruity Notes,White Pepper,Tobacco,Peach,Rose","Sandalwood,Patchouli,Amber,Vanilla",4,"5,084",https://fimgs.net/mdimg/perfume/375x500.9394.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
24 rue de l'UniversitÃ© Yves Saint Laurent ,Yves Saint Laurent,for women and men,"woody,warm spicy,amber,powdery,smoky,balsamic",24 rue de l'UniversitÃ©  by  Yves Saint Laurent  is a Oriental Woody fragrance for women and men.  24 rue de l'UniversitÃ©  was launched in 2017. The nose behind this fragrance is Fabrice Pellegrin. ,,Fabrice Pellegrin,"Sandalwood,Daim,Incense,Cedar",,,4.37,323,https://fimgs.net/mdimg/perfume/375x500.47671.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
6 place Saint Sulpice Yves Saint Laurent ,Yves Saint Laurent,for women and men,"amber,leather,warm spicy,vanilla,aromatic,sweet,lavender,animalic,musky,metallic",6 place Saint Sulpice  by  Yves Saint Laurent  is a Oriental Spicy fragrance for women and men.  6 place Saint Sulpice  was launched in 2017. The nose behind this fragrance is Carlos Benaim. ,,Carlos Benaim,"Tonka Bean,Labdanum,Leather,Saffron,Lavender,Bergamot",,,4.5,311,https://fimgs.net/mdimg/perfume/375x500.47737.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Baby Doll Yves Saint Laurent ,Yves Saint Laurent,for women,"fruity,rose,floral,sweet,woody,citrus,fresh,vanilla,tropical,green","Baby Doll  by  Yves Saint Laurent  is a Floral Fruity fragrance for women.  Baby Doll  was launched in 2000. Baby Doll was created by Ralf Schwieger and Cecile Matton. Top notes are Black Currant, Pineapple, Orange and Apple; middle notes are Rose, Freesia, Heliotrope and Lily-of-the-Valley; base notes are Vanilla, Cedar, Sandalwood and Tonka Bean. ","Baby Doll is fun and elegant fragrance with unusually fresh and youthful gourmand charm. Baby Doll woman is charming, playfully seductive-sha has a wonderful sense of humour.
Top notes are fresh and full of zest with the notes of blackcurrant, orange, apple, and pineapple. Heart notes include a feminine floral bouquet made of rose, freesia, lily of the valley and heliotrope. Base notes are warm and incensy; cedar, sandal, tonka and vanilla.
Baby Doll perfume was created by Cecile Matton while the bottle was designed by Saint Gobain. This perfume received a Fifi award in 2000.","Cecile Matton,Ralf Schwieger","Black Currant,Pineapple,Orange,Apple","Rose,Freesia,Heliotrope,Lily-of-the-Valley","Vanilla,Cedar,Sandalwood,Tonka Bean",3.81,"3,869",https://fimgs.net/mdimg/perfume/375x500.99.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Atlas Garden Yves Saint Laurent ,Yves Saint Laurent,for women and men,"sweet,citrus,white floral,amber,vanilla,fruity,aromatic","Atlas Garden  by  Yves Saint Laurent  is a Oriental Floral fragrance for women and men.  Atlas Garden  was launched in 2019. The nose behind this fragrance is Amandine Clerc-Marie. Top notes are Neroli, Mandarin Orange and Bergamot; middle notes are Orange Blossom and Dates; base notes are Tonka Bean and Ambroxan. ",,Amandine Clerc-Marie,"Neroli,Mandarin Orange,Bergamot","Orange Blossom,Dates","Tonka Bean,Ambroxan",4.2,371,https://fimgs.net/mdimg/perfume/375x500.58274.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Rose Oud Yves Rocher ,Yves Rocher,for women,"rose,oud,amber,fresh spicy,floral,musky",Rose Oud  by  Yves Rocher  is a Oriental Floral fragrance for women.  Rose Oud  was launched in 2016. Rose Oud was created by Annick Menardo and Olivier Cresp. ,,"Annick Menardo,Olivier Cresp","Damask Rose,Agarwood (Oud),Labdanum,Cumin",,,3.91,"1,903",https://fimgs.net/mdimg/perfume/375x500.33416.jpg,https://fimgs.net/mdimg/dizajneri/m.169.jpg
Black Opium Extreme Yves Saint Laurent ,Yves Saint Laurent,for women,"warm spicy,coffee,cacao,vanilla,white floral,patchouli,sweet,woody,balsamic",Black Opium Extreme  by  Yves Saint Laurent  is a Oriental Vanilla fragrance for women.  Black Opium Extreme  was launched in 2021. The nose behind this fragrance is Olivier Cresp. Top notes are Coffee and Cacao; middle notes are Jasmine Sambac and Orange Blossom; base notes are Bourbon Vanilla and Patchouli. ,,Olivier Cresp,"Coffee,Cacao","Jasmine Sambac,Orange Blossom","Bourbon Vanilla,Patchouli",4.03,"1,929",https://fimgs.net/mdimg/perfume/375x500.68506.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Miss Rose Land Yves de Sistelle ,Yves de Sistelle,for women,"vanilla,patchouli,amber,rose,citrus,warm spicy,white floral,woody,fruity,powdery","Miss Rose Land  by  Yves de Sistelle  is a Oriental Floral fragrance for women. Top notes are Mandarin Orange, Litchi and Lime; middle notes are Rose, Jasmine and White Pepper; base notes are Vanilla, Patchouli and Amber. ",,,"Mandarin Orange,Litchi,Lime","Rose,Jasmine,White Pepper","Vanilla,Patchouli,Amber",4,7,https://fimgs.net/mdimg/perfume/375x500.19749.jpg,https://fimgs.net/mdimg/dizajneri/m.829.jpg
Lily of the Valley Yardley ,Yardley,for women,"white floral,green,fresh",Lily of the Valley  by  Yardley  is a Floral fragrance for women.  Lily of the Valley  was launched in 1920. ,"Lily of the Valley is a beautifully contemporised version of traditional floral scent, based on the tiny white flowers that grow in the English countryside. Crisp notes are blended with a florals like gardenia and jasmine.  
  It is available as 125 ml EDT.",,"Lily-of-the-Valley,Green Notes,Jasmine,Gardenia,Geranium,Magnolia",,,3.9,295,https://fimgs.net/mdimg/perfume/375x500.9012.jpg,https://fimgs.net/mdimg/dizajneri/m.158.jpg
Comme une Evidence Yves Rocher ,Yves Rocher,for women,"white floral,green,rose,mossy,earthy,fresh,ozonic,woody,patchouli,musky","Comme une Evidence  by  Yves Rocher  is a Chypre Floral fragrance for women.  Comme une Evidence  was launched in 2003. The nose behind this fragrance is Annick Menardo. Top notes are Rhubarb and Violet Leaf; middle notes are Lily-of-the-Valley and Rose; base notes are Oakmoss, Patchouli and Musk. ",,Annick Menardo,"Rhubarb,Violet Leaf","Lily-of-the-Valley,Rose","Oakmoss,Patchouli,Musk",3.51,"5,131",https://fimgs.net/mdimg/perfume/375x500.2167.jpg,https://fimgs.net/mdimg/dizajneri/m.169.jpg
